,_id,name,warband,subfaction,grand_alliance,movement,toughness,wounds,runemarks,points,weapon_1_attacks,weapon_1_dmg_crit,weapon_1_dmg_hit,weapon_1_max_range,weapon_1_min_range,weapon_1_runemark,weapon_1_strength,weapon_2_attacks,weapon_2_dmg_crit,weapon_2_dmg_hit,weapon_2_max_range,weapon_2_min_range,weapon_2_runemark,weapon_2_strength
32,4ec6ae25,Initiate with Hooked Axe,Scions of the Flame,,chaos,4,3,10,[],70,4,4,1,1,0,axe,3,,,,,,,
33,5e849cc1,Fireborn with Sunblade and Kris,Scions of the Flame,,chaos,4,4,12,[],95,4,5,2,1,0,sword,3,,,,,,,
34,89ae9d7f,Fireborn with Sunblade and Brazier Axe,Scions of the Flame,,chaos,4,4,12,[],105,4,4,2,1,0,axe,4,,,,,,,
35,c398eaa8,Fireborn,Scions of the Flame,,chaos,4,4,12,['trapper'],110,4,4,2,1,0,axe,4,,,,,,,
36,51a7d96c,Inferno Priest,Scions of the Flame,,chaos,4,4,15,['mystic'],120,3,4,2,2,0,club,4,3.0,4.0,2.0,6.0,0.0,blast,3.0
37,40a57ff3,Immolator,Scions of the Flame,,chaos,5,4,18,['destroyer'],150,4,5,2,1,0,unarmed,4,,,,,,,
38,d96f656f,Brazen Champion,Scions of the Flame,,chaos,4,4,18,['brute'],165,3,6,3,2,0,axe,5,,,,,,,
39,21f028de,Blazing Lord,Scions of the Flame,,chaos,4,5,20,"['hero', 'brute']",200,4,6,2,2,0,sword,5,,,,,,,
40,4a8e796c,Blood Whelp with Barb-Spear,Claws of Karanak,,chaos,5,3,12,['agile'],75,2,4,2,2,0,spear,4,,,,,,,
41,31b6f571,Blood Whelp with Claw-Flail,Claws of Karanak,,chaos,5,3,12,['agile'],75,3,3,1,3,0,reach,4,,,,,,,
42,5c857cbf,Brutaliser with Shredder Blade and Meat Hook,Claws of Karanak,,chaos,5,3,15,['terrifying'],105,3,5,2,1,0,axe,4,,,,,,,
43,4e7ef80d,Brutaliser with Shredder Blades,Claws of Karanak,,chaos,5,3,15,[],110,4,4,2,1,0,axe,4,,,,,,,
44,b2e7309e,Hound of Wrath,Claws of Karanak,,chaos,7,4,18,"['agile', 'beast']",150,5,4,2,1,0,claws,4,,,,,,,
45,8fb0c3ff,Packlord,Claws of Karanak,,chaos,5,4,20,['hero'],185,5,5,2,1,0,axe,5,,,,,,,
46,03d1baed,Blissbrew Homonculus,Hedonites of Slaanesh: Sybarites,,chaos,5,3,8,['priest'],60,3,3,1,1,0,dagger,3,,,,,,,
47,168a6cb0,Blissbarb Archer,Hedonites of Slaanesh: Sybarites,,chaos,5,3,8,['minion'],95,3,3,1,1,0,dagger,3,2.0,3.0,1.0,15.0,3.0,ranged,3.0
48,2dba4b10,Myrmidesh Painbringer,Hedonites of Slaanesh: Sybarites,,chaos,4,5,15,['warrior'],105,4,4,2,1,0,axe,3,,,,,,,
49,bf86fea4,Symbaresh Twinsoul with Excruciator Lash,Hedonites of Slaanesh: Sybarites,,chaos,4,4,15,['berserker'],110,4,4,2,3,0,reach,3,,,,,,,
50,ea1c2b1f,Symbaresh Twinsoul with Merciless Blades,Hedonites of Slaanesh: Sybarites,,chaos,4,4,15,['berserker'],115,4,4,2,1,0,dagger,4,,,,,,,
51,9e5e5f07,Shardspeaker,Hedonites of Slaanesh: Sybarites,,chaos,4,3,18,"['hero', 'mystic']",120,3,4,1,2,0,mace,3,2.0,6.0,3.0,7.0,3.0,blast,3.0
52,c51bcc25,Symbaresh Twinsoul with Sinful Cleaver,Hedonites of Slaanesh: Sybarites,,chaos,4,4,15,['berserker'],120,3,4,2,2,0,sword,5,,,,,,,
53,5e909a8f,Blissbarb Archer High Tempter,Hedonites of Slaanesh: Sybarites,,chaos,5,3,12,"['hero', 'minion']",130,3,3,1,1,0,dagger,3,3.0,4.0,1.0,15.0,3.0,ranged,3.0
54,79dc3dd7,Hellstrider with Claw-spear,Hedonites of Slaanesh: Sybarites,,chaos,10,4,20,"['destroyer', 'mount']",135,3,4,1,2,0,claws,3,,,,,,,
55,9b0d02db,Hellstrider with Hellscourge,Hedonites of Slaanesh: Sybarites,,chaos,10,4,20,['mount'],135,4,3,1,3,0,reach,3,,,,,,,
56,555286c1,Blissbarb Seeker,Hedonites of Slaanesh: Sybarites,,chaos,10,3,20,"['minion', 'mount']",150,4,3,1,1,0,dagger,3,2.0,3.0,1.0,15.0,3.0,ranged,3.0
57,f5c793b2,Myrmidesh Painmaster,Hedonites of Slaanesh: Sybarites,,chaos,4,5,20,"['hero', 'warrior']",155,4,4,2,1,0,sword,4,,,,,,,
58,bb2686c1,Slickblade Seeker,Hedonites of Slaanesh: Sybarites,,chaos,10,3,20,"['destroyer', 'mount']",155,3,4,2,2,0,spear,4,,,,,,,
59,e1fe8f0c,Symbaresh Egopomp,Hedonites of Slaanesh: Sybarites,,chaos,4,4,20,"['hero', 'berserker']",170,4,4,2,2,0,club,5,,,,,,,
60,04f47524,Slaangor Fiendblood,Hedonites of Slaanesh: Sybarites,,chaos,6,4,20,['ferocious'],175,4,5,2,2,0,claws,4,,,,,,,
61,7db57db5,Hellreaver with Claw-spear,Hedonites of Slaanesh: Sybarites,,chaos,10,4,25,"['hero', 'destroyer', 'mount']",180,4,4,1,2,0,claws,3,,,,,,,
62,c66de627,Blissbarb Seeker High Tempter,Hedonites of Slaanesh: Sybarites,,chaos,10,3,25,"['hero', 'minion', 'mount']",190,4,3,1,1,0,dagger,3,3.0,4.0,1.0,15.0,3.0,ranged,3.0
63,7fa98aed,Slickblade Hunter-seeker,Hedonites of Slaanesh: Sybarites,,chaos,10,3,25,"['hero', 'destroyer', 'mount']",205,4,4,2,2,0,spear,4,,,,,,,
64,d5e2d41f,Lord of Pain,Hedonites of Slaanesh: Sybarites,,chaos,4,4,25,"['hero', 'champion']",220,4,5,3,2,0,club,5,,,,,,,
65,e5a9439b,Slaangor Slake-horn,Hedonites of Slaanesh: Sybarites,,chaos,6,4,25,"['hero', 'ferocious']",225,4,5,3,2,0,axe,4,,,,,,,
66,282ca0b9,Lord of Hubris,Hedonites of Slaanesh: Sybarites,,chaos,5,4,20,"['hero', 'bulwark']",155,4,3,2,1,0,sword,4,,,,,,,
67,46b82fd9,Glissete,Hedonites of Slaanesh: Sybarites,The Dread Pageant,chaos,5,3,12,[],105,4,5,2,2,0,spear,3,,,,,,,
68,2474ebef,Hadzu,Hedonites of Slaanesh: Sybarites,The Dread Pageant,chaos,5,3,12,['minion'],115,3,3,1,1,0,dagger,3,3.0,4.0,1.0,15.0,3.0,ranged,3.0
69,4d45a60c,Slakeslash,Hedonites of Slaanesh: Sybarites,The Dread Pageant,chaos,6,4,22,['ferocious'],200,4,6,3,1,0,sword,4,,,,,,,
70,7d2bf181,Vasillac the Gifted,Hedonites of Slaanesh: Sybarites,The Dread Pageant,chaos,5,5,26,"['hero', 'warrior']",200,4,5,2,2,0,spear,4,,,,,,,
71,610ecc78,Hornshield with Axe,Chaos Legionnaires,,chaos,4,5,12,['bulwark'],95,3,4,1,1,0,axe,5,,,,,,,
72,bf85f674,Hornshield with Sword,Chaos Legionnaires,,chaos,4,5,12,['bulwark'],95,4,3,1,1,0,sword,4,,,,,,,
73,75ab8126,Hornshield with Mace,Chaos Legionnaires,,chaos,4,5,12,['bulwark'],100,3,4,2,1,0,mace,4,,,,,,,
74,d6cae2e5,Hornhelm with Darkiron Mace,Chaos Legionnaires,,chaos,4,4,18,['brute'],120,3,5,3,1,0,mace,4,,,,,,,
75,0c7614aa,Hornhelm with Steelbite Axe,Chaos Legionnaires,,chaos,4,4,18,['brute'],125,3,6,2,1,0,axe,5,,,,,,,
76,5c4182c6,Mutandor,Chaos Legionnaires,,chaos,5,4,18,['berserker'],145,3,5,2,2,0,spear,5,,,,,,,
77,7b5234d0,Decuriarch,Chaos Legionnaires,,chaos,4,5,22,"['hero', 'bulwark']",170,4,5,2,1,0,sword,4,,,,,,,
78,a0c2eb9f,Clearblood,Splintered Fang,,chaos,4,3,10,[],65,4,3,1,1,0,dagger,3,,,,,,,
79,298c9d36,Clearblood with Shield,Splintered Fang,,chaos,4,4,10,['bulwark'],65,3,3,1,1,0,dagger,3,,,,,,,
80,8eef5146,Serpents,Splintered Fang,,chaos,6,2,6,['beast'],90,5,4,1,1,0,fangs,3,,,,,,,
81,48930bbc,Venomblood with Blade and Barbed Whip,Splintered Fang,,chaos,5,4,10,[],95,3,4,2,1,0,sword,3,4.0,4.0,1.0,3.0,0.0,reach,3.0
82,4e872f9a,Venomblood with Duelling Blades,Splintered Fang,,chaos,5,4,10,[],95,4,4,2,1,0,sword,3,,,,,,,
83,e75b6a58,Venomblood with Barbed Whip,Splintered Fang,,chaos,4,5,10,['bulwark'],105,4,4,1,3,0,reach,4,,,,,,,
84,c17299c3,Venomblood with Spear and Shield,Splintered Fang,,chaos,4,5,10,['bulwark'],105,3,4,2,2,0,spear,4,,,,,,,
85,d52caefd,Pureblood,Splintered Fang,,chaos,4,4,12,['brute'],115,4,4,2,1,0,dagger,4,,,,,,,
86,141590d5,Serpent Caller,Splintered Fang,,chaos,5,4,15,['mystic'],145,4,4,2,2,0,fangs,4,2.0,4.0,2.0,8.0,0.0,ranged,4.0
87,58c9475c,Trueblood,Splintered Fang,,chaos,4,4,20,['hero'],170,4,5,2,2,0,spear,4,,,,,,,
88,ad8709a0,Awakened One with Brutal Polearm,The Unmade,,chaos,4,3,10,[],65,2,4,1,2,0,spear,3,,,,,,,
89,b2e31ca2,Awakened One with Flail,The Unmade,,chaos,4,3,10,[],65,3,3,1,1,0,dagger,3,3.0,2.0,1.0,3.0,0.0,reach,3.0
90,31740359,Ascended One,The Unmade,,chaos,4,4,10,['warrior'],110,4,4,2,1,0,sword,4,,,,,,,
91,ac71c483,Joyous One,The Unmade,,chaos,5,4,15,['destroyer'],140,4,4,2,1,0,dagger,4,,,,,,,
92,9ecfd2ac,Blissful One,The Unmade,,chaos,8,4,20,['hero'],225,5,6,2,1,0,dagger,4,,,,,,,
93,fac7b907,Bloodletter,Blades of Khorne: Daemons,,chaos,4,3,10,['frenzied'],80,4,4,1,1,0,sword,4,,,,,,,
94,b9e2645d,Bloodreaper,Blades of Khorne: Daemons,,chaos,4,3,15,"['hero', 'frenzied']",135,5,4,2,1,0,sword,4,,,,,,,
95,9e03d4aa,"Bloodmaster, Herald of Khorne",Blades of Khorne: Daemons,,chaos,4,4,20,"['hero', 'frenzied']",165,5,5,2,1,0,sword,4,,,,,,,
96,bea960c8,Bloodcrusher,Blades of Khorne: Daemons,,chaos,6,4,25,"['destroyer', 'mount']",170,4,4,2,1,0,sword,4,,,,,,,
97,4b927149,Flesh Hound,Blades of Khorne: Daemons,,chaos,8,4,20,"['agile', 'beast']",185,4,4,2,1,0,fangs,4,,,,,,,
98,d060cbe4,Bloodhunter,Blades of Khorne: Daemons,,chaos,6,4,30,"['hero', 'destroyer', 'mount']",230,5,5,2,1,0,sword,4,,,,,,,
99,13230cd6,Gore Hound,Blades of Khorne: Daemons,,chaos,8,4,25,"['agile', 'beast', 'ferocious']",240,5,5,2,1,0,fangs,4,,,,,,,
100,a23403fa,"Skullmaster, Herald of Khorne",Blades of Khorne: Daemons,,chaos,6,5,35,"['hero', 'destroyer', 'mount']",285,5,5,3,1,0,sword,4,,,,,,,
101,2da6c86a,Plains-runner,Untamed Beasts,,chaos,5,3,8,[],55,3,3,1,1,0,axe,3,,,,,,,
102,9499f51a,Preytaker with Fanged Axe,Untamed Beasts,,chaos,4,4,10,[],100,3,5,2,1,0,axe,5,,,,,,,
103,783528f3,Preytaker with Sawtooth Blade,Untamed Beasts,,chaos,4,4,10,[],100,4,4,2,1,0,sword,4,,,,,,,
104,f68fb029,Beastspeaker,Untamed Beasts,,chaos,5,4,15,['agile'],110,3,4,1,1,0,dagger,4,4.0,3.0,1.0,3.0,0.0,reach,4.0
105,c358c035,First Fang,Untamed Beasts,,chaos,4,4,15,['brute'],130,3,4,2,1,0,axe,5,2.0,5.0,2.0,8.0,0.0,spear,5.0
106,253f889c,Rocktusk Prowler,Untamed Beasts,,chaos,8,4,20,['beast'],195,4,5,2,1,0,fangs,4,,,,,,,
107,583af3f6,Heart-Eater,Untamed Beasts,,chaos,5,4,20,['hero'],200,5,5,2,1,0,axe,5,,,,,,,
108,3a603d57,Defacer with Antithete Bow,Jade Obelisk,,chaos,4,4,10,[],95,3,3,1,1,0,dagger,3,2.0,3.0,1.0,15.0,3.0,ranged,3.0
109,0107090d,Defacer with Stonecutter Tools,Jade Obelisk,,chaos,4,4,10,['warrior'],95,4,3,2,1,0,hammer,4,,,,,,,
110,0f01b0fc,Desecrator with Iconoclast Warpick,Jade Obelisk,,chaos,3,4,12,['destroyer'],100,4,5,2,1,0,hammer,5,,,,,,,
111,5d2df80c,Desecrator with Statue-Smasher Hammer,Jade Obelisk,,chaos,3,4,12,['destroyer'],100,3,5,3,1,0,hammer,5,,,,,,,
112,6b58ba77,Idolarc,Jade Obelisk,,chaos,8,3,8,"['beast', 'fly']",105,3,3,1,1,0,claws,3,,,,,,,
113,be116cfc,Nephrite Priestess,Jade Obelisk,,chaos,4,3,20,"['hero', 'priest']",105,4,4,1,1,0,dagger,3,,,,,,,
114,6095fdfa,Obelisk Bearer,Jade Obelisk,,chaos,3,4,20,['icon-bearer'],110,4,4,2,1,0,sword,4,,,,,,,
115,05730b23,Iron Legionary,Iron Golems,,chaos,4,5,12,[],75,3,4,1,1,0,club,3,,,,,,,
116,4d002a1c,Iron Legionary with Bolas,Iron Golems,,chaos,4,4,12,[],75,3,4,1,1,0,hammer,3,3.0,3.0,1.0,3.0,0.0,reach,3.0
117,4d8867a5,Iron Legionary with Twin Hammers,Iron Golems,,chaos,4,4,12,[],75,4,4,1,1,0,hammer,3,,,,,,,
118,dec61d09,Armator,Iron Golems,,chaos,3,4,15,[],90,4,4,2,1,0,hammer,4,,,,,,,
119,11ffa5a0,Signifer,Iron Golems,,chaos,4,4,18,['icon-bearer'],125,4,4,2,1,0,hammer,4,,,,,,,
120,adc1715c,Prefector,Iron Golems,,chaos,4,4,18,['brute'],135,4,5,2,1,0,hammer,4,,,,,,,
121,70b20681,Drillmaster,Iron Golems,,chaos,5,4,18,['berserker'],140,4,4,2,1,0,club,4,4.0,3.0,2.0,3.0,0.0,reach,4.0
122,bb0df6f0,Dominar,Iron Golems,,chaos,4,4,22,"['hero', 'brute']",170,4,5,2,1,0,hammer,5,,,,,,,
123,95f83304,Ogor Breacher,Iron Golems,,chaos,4,5,30,['destroyer'],220,3,8,4,1,0,unarmed,6,,,,,,,
124,fa54ab0a,Mindbound,Cypher Lords,,chaos,5,3,10,['minion'],70,4,3,1,1,0,sword,3,,,,,,,
125,04d47ae9,Mindbound with Double-bladed Sword,Cypher Lords,,chaos,5,3,10,"['destroyer', 'minion']",80,3,4,1,2,0,sword,3,,,,,,,
126,dd2d2743,Mirrorblade with Duelling Swords,Cypher Lords,,chaos,5,3,10,['minion'],120,5,4,2,1,0,sword,4,,,,,,,
127,aecf9289,Mirrorblade with Glaive,Cypher Lords,,chaos,5,3,10,"['minion', 'destroyer']",125,4,5,2,2,0,spear,4,,,,,,,
128,4db1881d,Luminate,Cypher Lords,,chaos,5,4,15,['mystic'],175,5,5,2,2,0,spear,4,,,,,,,
129,ea241336,Thrallmaster,Cypher Lords,,chaos,5,4,20,"['hero', 'mystic']",205,5,6,2,1,0,unarmed,4,,,,,,,
130,dd82d618,Brimstone Horrors,Disciples of Tzeentch: Daemons,,chaos,4,3,6,['minion'],65,3,2,1,1,0,claws,3,2.0,2.0,1.0,10.0,3.0,blast,3.0
131,eb289d08,Blue Horror,Disciples of Tzeentch: Daemons,,chaos,4,3,8,['warrior'],90,3,3,1,1,0,claws,3,2.0,3.0,1.0,10.0,3.0,blast,3.0
132,dbd31de4,Pink Horror,Disciples of Tzeentch: Daemons,,chaos,4,3,12,['elite'],135,3,4,1,1,0,claws,3,2.0,4.0,1.0,10.0,3.0,blast,3.0
133,d7466c2d,Changecaster with Ritual Dagger,Disciples of Tzeentch: Daemons,,chaos,4,3,20,"['hero', 'destroyer']",160,3,4,2,1,0,dagger,4,2.0,6.0,3.0,15.0,3.0,blast,3.0
134,dabe2c46,Changecaster with Staff of Change,Disciples of Tzeentch: Daemons,,chaos,4,3,20,"['hero', 'destroyer']",160,2,5,2,2,0,club,4,2.0,6.0,3.0,15.0,3.0,blast,3.0
135,d6f5111f,Flamer of Tzeentch,Disciples of Tzeentch: Daemons,,chaos,8,3,15,"['fly', 'berserker']",165,2,4,2,1,0,fangs,3,3.0,4.0,2.0,15.0,3.0,blast,3.0
136,e885ee58,Iridescent Horror,Disciples of Tzeentch: Daemons,,chaos,4,3,16,"['hero', 'elite']",170,4,4,2,1,0,claws,3,2.0,4.0,1.0,10.0,3.0,blast,3.0
137,b111e7d4,Pyrocaster,Disciples of Tzeentch: Daemons,,chaos,8,3,20,"['fly', 'hero', 'berserker']",205,2,4,2,1,0,fangs,3,4.0,4.0,2.0,15.0,3.0,blast,3.0
138,215e2324,Screamer of Tzeentch,Disciples of Tzeentch: Daemons,,chaos,12,3,18,"['agile', 'fly', 'beast']",210,4,4,2,1,0,fangs,4,,,,,,,
139,e7af09fd,Exalted Flamer of Tzeentch,Disciples of Tzeentch: Daemons,,chaos,8,3,25,"['fly', 'berserker']",220,2,4,2,1,0,fangs,3,4.0,5.0,2.0,15.0,3.0,blast,3.0
140,af73b2d6,Fluxmaster with Ritual Dagger,Disciples of Tzeentch: Daemons,,chaos,12,3,25,"['fly', 'hero', 'mystic']",240,4,4,2,1,0,fangs,4,2.0,6.0,3.0,15.0,3.0,blast,3.0
141,1f6c0b79,Fluxmaster with Staff of Change,Disciples of Tzeentch: Daemons,,chaos,12,3,25,"['fly', 'hero', 'mystic']",240,3,5,2,2,0,club,4,2.0,6.0,3.0,15.0,3.0,blast,3.0
142,0cb83e11,Kindlefinger,Disciples of Tzeentch: Daemons,Ephilim's Pandaemonium,chaos,4,1,6,['beast'],55,2,2,1,1,0,claws,1,5.0,1.0,1.0,6.0,3.0,blast,1.0
143,61958b24,"Apo'trax, the Starefysh",Disciples of Tzeentch: Daemons,Ephilim's Pandaemonium,chaos,4,3,10,"['beast', 'fly']",70,1,6,3,1,0,claws,4,,,,,,,
144,d8da0969,Flamespooler,Disciples of Tzeentch: Daemons,Ephilim's Pandaemonium,chaos,4,3,12,[],95,3,3,1,1,0,claws,2,3.0,2.0,1.0,12.0,3.0,blast,2.0
145,76510ed7,Spawnmaw,Disciples of Tzeentch: Daemons,Ephilim's Pandaemonium,chaos,5,3,12,"['beast', 'berserker']",105,3,4,2,2,0,fangs,4,,,,,,,
146,dfc42316,Ephilim The Unknowable,Disciples of Tzeentch: Daemons,Ephilim's Pandaemonium,chaos,4,3,18,"['hero', 'mystic']",145,3,3,1,2,0,club,3,2.0,6.0,3.0,7.0,3.0,blast,4.0
147,b7381b1e,Chaos Marauder with Barbarian Flail,Slaves to Darkness,,chaos,4,3,10,[],70,3,3,1,3,0,reach,3,,,,,,,
148,a7fbdaeb,Chaos Marauder with Barbarian Axe and Darkwood Shield,Slaves to Darkness,,chaos,4,4,10,['bulwark'],70,2,3,1,1,0,axe,3,,,,,,,
149,6f800d34,Chaos Warrior with Chaos Halberd and Chaos Runeshield,Slaves to Darkness,,chaos,4,6,15,['bulwark'],95,2,5,2,2,0,axe,4,,,,,,,
150,c942dd0e,Marauder Chieftain,Slaves to Darkness,,chaos,4,3,15,['hero'],105,4,4,1,1,0,axe,4,,,,,,,
151,3610764e,Chaos Warrior with Chaos Hand Weapon and Chaos Runeshield,Slaves to Darkness,,chaos,4,6,15,['bulwark'],100,3,4,2,1,0,axe,4,,,,,,,
152,4833f2b4,Chaos Warrior with Chaos Greatblade,Slaves to Darkness,,chaos,4,5,15,[],105,3,4,2,1,0,axe,5,,,,,,,
153,3fbb7d06,Chaos Warrior with Pair of Chaos Hand Weapons,Slaves to Darkness,,chaos,4,5,15,[],110,4,4,2,1,0,axe,4,,,,,,,
154,19b6637d,Chaos Marauder Horseman with Barbarian Axe and Darkwood Shield,Slaves to Darkness,,chaos,10,4,18,['mount'],125,3,3,1,1,0,axe,3,,,,,,,
155,58331927,Chaos Marauder Horseman with Marauder Flail,Slaves to Darkness,,chaos,10,3,18,['mount'],130,4,3,1,3,0,reach,3,,,,,,,
156,123bab22,Chaos Marauder Horseman with Marauder Javelin and Darkwood Shield,Slaves to Darkness,,chaos,10,4,18,"['scout', 'mount']",140,3,4,1,2,0,spear,3,,,,,,,
157,8036bff4,Chaos Sorcerer Lord,Slaves to Darkness,,chaos,4,4,22,"['hero', 'mystic']",150,3,4,1,2,0,club,3,2.0,6.0,3.0,7.0,3.0,blast,3.0
158,d78bd02a,Aspiring Champion,Slaves to Darkness,,chaos,4,6,22,['hero'],155,4,4,2,1,0,axe,4,,,,,,,
159,5de83880,Darkoath Chieftain,Slaves to Darkness,,chaos,4,4,20,"['hero', 'elite']",155,4,5,2,1,0,sword,4,,,,,,,
160,01a3f1f8,Darkoath Warqueen,Slaves to Darkness,,chaos,4,5,20,"['hero', 'champion']",175,5,4,2,1,0,axe,4,,,,,,,
161,7ed88e20,Exalted Hero of Chaos,Slaves to Darkness,,chaos,4,5,25,"['hero', 'champion']",185,4,5,2,1,0,axe,4,,,,,,,
162,920598c8,Chaos Knight with Cursed Lance and Chaos Runeshield,Slaves to Darkness,,chaos,10,6,22,['mount'],195,3,5,2,2,0,spear,4,,,,,,,
163,96d53b93,Chaos Knight with Ensorcelled Weapon and Chaos Runeshield,Slaves to Darkness,,chaos,10,6,22,['mount'],205,4,4,2,1,0,sword,4,,,,,,,
164,8f999f26,Chaos Lord,Slaves to Darkness,,chaos,4,5,25,"['hero', 'champion']",180,4,5,2,2,0,spear,5,,,,,,,
165,96bb2473,Horsemaster,Slaves to Darkness,,chaos,10,4,22,"['hero', 'mount']",215,4,4,2,1,0,axe,4,,,,,,,
166,82f4a0cb,Doom Knight,Slaves to Darkness,,chaos,10,6,26,"['hero', 'mount']",250,4,5,2,2,0,reach,4,,,,,,,
167,30bcd88b,Varanguard with Fellspear,Slaves to Darkness,,chaos,10,6,30,"['hero', 'terrifying', 'mount']",280,4,6,2,2,0,spear,4,,,,,,,
168,c4c394e4,Chaos Lord on Daemonic Mount,Slaves to Darkness,,chaos,10,5,32,"['hero', 'agile', 'mount']",285,5,4,2,1,0,axe,4,,,,,,,
169,bc727cbe,Varanguard with Daemonforged Blade,Slaves to Darkness,,chaos,10,6,30,"['hero', 'terrifying', 'mount']",285,3,6,3,1,0,sword,5,,,,,,,
